1  world1.tmx 47 40 down healthy 1
2  world1.tmx 23 27 down healthy 2
4  world1.tmx 14 19 down healthy 4
7  world1.tmx 34 28 down healthy 1
8  world1.tmx 56 30 down healthy 3
9  world1.tmx 65 34 down healthy 3
10 world1.tmx 82 34 down healthy 2
11 world1.tmx 82 29 down healthy 5
12 world1.tmx 77 34 down healthy 6
13 world1.tmx 28 34 down healthy 1
14 world1.tmx 36 41 down healthy 2
15 world1.tmx 60 41 down healthy 3
16 world1.tmx 63 30 down healthy 4
18 world1.tmx 20 23 down healthy 6
19 world1.tmx 16 23 down healthy 1
20 world1.tmx 36 34 down healthy 2
21 world1.tmx 57 24 down healthy 5
22 world1.tmx 61 26 down healthy 3
