medkit hospital1.tmx 16 5
medkit hospital1.tmx 11 5
medkit safehouse.tmx 1 8
medkit store.tmx 5 8
medkit world1.tmx 19 34
medkit world1.tmx 32 25
medkit world1.tmx 79 28
ammo hospital1.tmx 3 5
ammo safehouse.tmx 9 5
ammo store.tmx 5 7
ammo world1.tmx 27 16
ammo world1.tmx 14 13
ammo world1.tmx 26 41
ammo world1.tmx 59 41
ammo world1.tmx 85 36
ammo world1.tmx 84 46
food_supplies world1.tmx 16 13
wood world1.tmx 88 53
wood world1.tmx 8 37
wood world1.tmx 60 21
cure_sample hospital2.tmx 16 12
lab_key world1.tmx 51 11
outpost_key cave.tmx 77 17
toolkit outpost3.tmx 16 5
fuse laboratory.tmx 16 6
